operator_id,op_jobKind,op_qualifications_count,op_effectiveTime,op_popularity_score,op_has_CP,op_has_CN,workload_pressure_index,daily_perc_ortho,avg_patient_priority,daily_lifter_ratio,target_assN,target_assO,target_assCP,target_assMAC,target_assignments
31,1,3,200,3,0,1,0.8938992042440318,0.45454545454545453,5.333333333333333,0.07272727272727272,2,1,0,0,3
40,1,4,150,3,0,1,0.8938992042440318,0.45454545454545453,6.0,0.07272727272727272,2,2,0,0,4
158,0,2,340,2,0,0,0.8938992042440318,0.45454545454545453,6.4,0.07272727272727272,2,3,0,0,5
485,0,3,340,3,1,0,0.8938992042440318,0.45454545454545453,10.2,0.07272727272727272,1,1,3,0,5
46,1,3,150,4,1,0,0.8938992042440318,0.45454545454545453,5.0,0.07272727272727272,3,1,0,0,4
39,1,3,200,3,0,1,0.8938992042440318,0.45454545454545453,6.0,0.07272727272727272,2,2,0,0,4
38,0,4,280,4,0,1,0.8938992042440318,0.45454545454545453,5.25,0.07272727272727272,5,3,0,0,8
35,0,3,270,4,0,1,0.8938992042440318,0.45454545454545453,5.0,0.07272727272727272,3,1,0,0,4
29,1,3,200,3,0,1,0.8938992042440318,0.45454545454545453,4.666666666666667,0.07272727272727272,2,1,0,0,3
435,0,3,340,7,0,1,0.8938992042440318,0.45454545454545453,5.714285714285714,0.07272727272727272,4,3,0,0,7
44,0,3,340,2,0,1,0.8938992042440318,0.45454545454545453,5.2,0.07272727272727272,3,2,0,0,5
50,0,3,340,5,0,1,0.8938992042440318,0.45454545454545453,5.333333333333333,0.07272727272727272,4,2,0,0,6
52,0,2,280,1,0,0,0.8938992042440318,0.45454545454545453,8.0,0.07272727272727272,0,1,0,0,1
34,1,3,200,3,0,1,0.8938992042440318,0.45454545454545453,5.333333333333333,0.07272727272727272,2,1,0,0,3
32,1,3,140,4,0,1,0.8938992042440318,0.45454545454545453,8.0,0.07272727272727272,0,3,0,0,3
313,1,6,216,4,1,0,0.8906164757228587,0.40540540540540543,6.0,0.05405405405405406,2,2,0,0,4
232,0,6,432,7,1,0,0.8906164757228587,0.40540540540540543,15.0,0.05405405405405406,0,0,0,7,7
230,0,6,432,7,1,0,0.8906164757228587,0.40540540540540543,10.857142857142858,0.05405405405405406,2,1,0,4,7
227,0,6,480,6,1,0,0.8906164757228587,0.40540540540540543,7.0,0.05405405405405406,3,3,0,1,7
464,1,6,216,4,1,0,0.8906164757228587,0.40540540540540543,6.5,0.05405405405405406,1,3,0,0,4
225,0,6,402,4,1,0,0.8906164757228587,0.40540540540540543,6.0,0.05405405405405406,2,2,0,0,4
224,0,6,432,7,1,0,0.8906164757228587,0.40540540540540543,11.142857142857142,0.05405405405405406,1,2,0,3,7
223,0,6,432,7,1,0,0.8906164757228587,0.40540540540540543,15.0,0.05405405405405406,0,0,0,7,7
220,0,6,432,7,1,0,0.8906164757228587,0.40540540540540543,13.0,0.05405405405405406,0,2,0,5,7
221,0,6,480,6,1,0,0.8906164757228587,0.40540540540540543,10.0,0.05405405405405406,0,5,0,2,7
210,0,6,402,4,1,0,0.8906164757228587,0.40540540540540543,7.0,0.05405405405405406,1,3,0,0,4
228,0,6,432,5,1,0,0.8906164757228587,0.40540540540540543,10.833333333333334,0.05405405405405406,1,2,0,2,6
217,0,7,300,5,1,0,0.8906164757228587,0.40540540540540543,9.25,0.05405405405405406,0,3,0,1,4
216,0,6,300,5,1,0,0.8906164757228587,0.40540540540540543,8.2,0.05405405405405406,1,3,0,1,5
215,0,6,300,5,0,1,0.8906164757228587,0.40540540540540543,15.0,0.05405405405405406,0,0,0,4,5
214,0,6,432,6,0,1,0.8906164757228587,0.40540540540540543,10.428571428571429,0.05405405405405406,1,3,0,2,7
212,0,6,300,5,1,0,0.8906164757228587,0.40540540540540543,8.6,0.05405405405405406,1,3,0,1,5
524,0,5,480,8,0,0,0.8906164757228587,0.40540540540540543,9.428571428571429,0.05405405405405406,1,4,0,2,7
218,0,6,432,5,1,0,0.8906164757228587,0.40540540540540543,7.857142857142857,0.05405405405405406,2,4,0,1,7
217,0,7,300,5,1,0,0.8933442444080743,0.4107142857142857,9.0,0.05357142857142857,0,4,0,1,5
220,0,6,432,7,1,0,0.8933442444080743,0.4107142857142857,13.0,0.05357142857142857,0,2,0,5,7
218,0,6,432,5,1,0,0.8933442444080743,0.4107142857142857,5.666666666666667,0.05357142857142857,3,3,0,0,6
